ANCHOR_RATIOS,ANCHOR_SIZES,TEST_PRE_NMS_TOPK,TEST_POST_NMS_TOPK,PROPOSAL_NMS_THRESH,PRECISION
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",30000,5000,0.82,67.13%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",20000,4000,0.8,66.90%
"(0.8, 1.0, 1.2)","(32, 62, 102, 182, 232)",20000,3000,0.8,66.78%
"(0.85, 1.0, 1.15)","(32, 62, 102, 182, 232)",20000,3000,0.8,66.66%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",16000,4000,0.75,66.66%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.54%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.54%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",15000,3000,0.8,66.40%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.78,66.31%
"(0.98, 1.0, 1.02)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.31%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.77,66.19%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.82,65.70%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",15000,2000,0.8,65.02%
" (0.85, 1.0, 1.15)","(32, 62, 102, 182, 232)",10000,2000,0.8,64.78%
"(0.9, 1.0, 1.1)","(32, 62, 102, 182, 232)",15000,3000,0.8,64.67%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",15000,2000,0.8,64.31%
"(0.97, 1.0, 1.03)","(32, 62, 102, 182, 232)",15000,3000,0.8,64.20%
"(0.75, 1.0, 1.25)","(32, 62, 102, 182, 232)",10000,2000,0.8,64.20%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",35000,4000,0.7,64.08%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",35000,4000,0.7,64.08%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",20000,4000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",50000,5000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 102, 182, 232)",35000,4000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 92, 122, 222)",35000,4000,0.7,63.84%
"(0.9, 1.0, 1.1)","(32, 64, 116, 192, 222)",35000,4000,0.7,63.67%
"(0.95, 1.0, 1.05)","(32, 64, 108, 186, 212)",15000,2000,0.8,63.30%
"(0.85, 1.0, 1.15)","(32, 62, 112, 212, 252)",50000,6000,0.7,63.15%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",10000,3000,0.7,63.03%
"(0.95, 1.0, 1.05)","(32, 64, 116, 192, 222)",35000,4000,0.7,63.02%
"(0.9, 1.0, 1.1)","(32, 64, 128, 192, 256)",50000,6000,0.7,62.68%
"(0.9, 1.0, 1.1)","32, 64, 192, 224, 256",35000,4000,0.7,62.44%
"(0.85, 1.0, 1.15)","(32, 62, 112, 212, 252)",10000,3000,0.7,62.32%
"(0.8, 1.0, 1.2)","(32, 62, 112, 212, 252)",35000,4000,0.7,62.20%
"(0.8, 1.0, 1.2)","(32, 62, 102, 182, 232)",35000,4000,0.7,62.08%
"(0.8, 1.0, 1.2)","(32, 64, 128, 192, 256)",50000,6000,0.7,61.38%
"(0.8, 1.0, 1.2)","(32, 62, 112, 212, 252)",10000,1500,0.7,61.15%
"(0.8, 1.0, 1.2)","(32, 64, 128, 192, 256)",10000,1500,0.7,60.56%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",10000,1500,0.7,60.44%
"(0.85, 1.0, 1.15)","(32, 50, 72, 90, 102)",50000,6000,0.7,59.74%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",10000,1500,0.65,59.03%
"(0.95, 1.0, 1.05)","(30, 60, 102, 182, 232)",15000,2000,0.8,58.80%
"(0.95, 1.0, 1.05)","(35, 55, 70, 120, 182)",15000,2000,0.8,58.30%
"(0.95, 1.0, 1.05)","(30, 60, 90, 180, 220)",15000,2000,0.8,58.30%
"(0.8, 1.0, 1.2)","(32, 72, 132, 232, 272)",10000,1500,0.7,57.39%
"(0.8, 1.0, 1.2)","(32, 72, 122, 222, 252)",10000,1500,0.8,57.39%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",10000,1500,0.6,57.16%
"(0.9, 1.0, 1.1)","(32, 50, 72, 90, 102)",10000,3000,0.75,56.57%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",15000,2000,0.9,56.00%
"(0.85, 1.0, 1.15)","(32, 48, 64, 96, 128)",10000,3500,0.7,55.98%
"(0.85, 1.0, 1.15)","(32, 48, 64, 90, 102)",10000,3000,0.7,55.63%
"(0.8, 1.0, 1.2)","(32, 48, 64, 96, 128)",10000,3500,0.7,55.39%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",15000,1500,0.5,55.05%
"(0.85, 1.0, 1.15)","(32, 48, 64, 80, 96)",10000,3000,0.7,55.04%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",10000,1500,0.5,54.81%
"(0.8, 1.0, 1.2)","(32, 64, 192, 224, 256)",10000,1500,0.5,54.81%
"(0.8, 1.0, 1.2)","(32, 64, 128, 192, 224)",15000,1500,0.5,54.81%
"(0.8, 1.0, 1.2)","(32, 64, 256, 512, 768)",8000,1500,0.5,54.46%
"(0.85, 1.0, 1.15)","(32, 48, 64, 92, 128)",10000,2500,0.7,53.99%
"(0.9, 1.0, 1.1)","(32, 64, 128, 192, 224)",15000,1500,0.5,53.87%
"(0.9, 1.0, 1.1)","(32, 48, 64, 92, 128)",10000,2500,0.7,53.87%
"(0.8, 1.0, 1.2)","(32, 48, 64, 80, 96)",10000,3000,0.7,53.87%
"(0.95, 1.0, 1.15)","(32, 64, 92, 128, 256)",8000,1500,0.5,53.40%
"(0.8, 1.0, 1.2)","(32, 48, 64, 96, 128)",10000,3000,0.7,53.05%
"(0.8, 1.0, 1.2)","(32, 64, 92, 128, 256)",8000,1500,0.5,53.00%
"(0.97, 1.0, 1.03)","(32, 64, 92, 128, 256)",15000,1000,0.5,52.93%
"(0.95, 1.0, 1.05)","(32, 64, 92, 128, 256)",15000,1500,0.5,52.46%
"(0.95, 1.0, 1.05)","(32, 64, 92, 128, 256)",8000,1500,0.5,51.99%
"(0.8, 1.0, 1.2)","(32, 64, 256, 512, 768)",5000,1500,0.5,51.76%
"(0.85, 1.0, 1.15)","(32, 48, 64, 156, 192)",10000,1500,0.7,50.53%
"(0.8, 1.0, 1.2)","(32, 48, 64, 96, 128)",10000,1500,0.7,48.82%
"(0.95, 1.0, 1.05)","(32, 92, 160, 224, 278)",10000,1500,0.7,48.35%
"(0.95, 1.0, 1.05)","(28, 62, 102, 182, 232)",15000,3000,0.8,48.00%
"(0.8, 1.0, 1.2)","(32, 50, 100, 150, 200)",10000,1500,0.5,46.01%
"(0.8, 1.0, 1.2)","(32, 48, 64, 224, 256)",15000,2000,0.5,45.45%
"(0.8, 1.0, 1.2)","(32, 62, 112, 212, 252)",10000,1500,0.2,44.60%
"(0.75, 1.0, 1.25)","(32, 128, 192, 224, 256)",15000,1500,0.5,44.37%
"(0.8, 1.0, 1.2)","(32, 48, 64, 128, 192)",15000,3000,0.5,44.25%
"(0.8, 1.0, 1.2)","(32, 128, 512, 1024, 2048)",10000,1500,0.5,43.54%
"(0.85, 1.0, 1.15)","(32, 128, 192, 224, 256)",10000,1500,0.5,43.43%
"(0.8, 1.0, 1.2)","(32, 48, 192, 224, 256)",30000,3000,0.5,43.30%
"(0.95, 1.0, 1.15)","(32, 48, 192, 224, 256)",30000,3000,0.5,43.30%
"(0.9, 1.0, 1.1)","(32, 48, 64, 92, 128)",15000,4500,0.5,43.00%
"(0.8, 1.0, 1.2)","(29, 73, 127, 173, 211)",8000,1500,0.7,42.84%
"(0.8, 1.0, 1.2)","(32, 50, 72, 90, 102)",10000,3000,0.3,38.26%
"(0.8, 1.0, 1.2)","(30, 120, 180, 240, 300)",8000,1500,0.7,36.38%
"(0.9, 1.0, 1.1)","(32, 50, 72, 90, 102)",10000,3000,0.1,34.27%
"(0.95, 1.0, 1.05)","(24, 58, 102, 182, 232) ",15000,2000,0.8,33.80%
"(0.85, 1.0, 1.15)","(32, 48, 64, 96, 128)",10000,3000,0.1,33.68%
"(0.8, 1.0, 1.2)","(32, 48, 64, 96, 128)",10000,3500,0.1,33.57%
"(0.85, 1.0, 1.15)","(32, 48, 64, 92, 128)",10000,2500,0.2,33.33%
"(0.9, 1.0, 1.1)","(32, 48, 64, 92, 128)",10000,3500,0.1,33.10%
"(0.9, 1.0, 1.1)","(32, 48, 64, 96, 128)",10000,3500,0.2,32.86%
"(0.95, 1.0, 1.05)","(32, 48, 64, 96, 128)",10000,3500,0.2,32.28%
"(0.95, 1.0, 1.05)","(21, 42, 80, 186, 212)",15000,2000,0.8,18.54%
"(0.8, 1.0, 1.2)","(50, 100, 150, 200, 250)",10000,1500,0.7,15.14%
"(0.8, 1.0, 1.2)","(64, 92, 128, 192, 256)",8000,1500,0.7,8.22%
"(0.95, 1.0, 1.05)","(16, 32, 64, 108, 212)",15000,2000,0.8,6.40%
"(0.8, 1.0, 1.2)","(16, 32, 64, 92, 128)",8000,1500,0.7,5.63%
"(0.9, 1.0, 1.1)","(16, 32, 48, 64, 92)",8000,1000,0.5,5.00%
"(0.8, 1.0, 1.2)","(16, 32, 48, 64, 128)",8000,1500,0.5,5.00%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",20000,3000,0.8,66.43%
,,,,,
"(0.8, 1.0, 1.2)","(32, 62, 112, 212, 252)",20000,2500, 0.82 ,66.66%